H,Pmax,Qmin
170,0,0
171,36.5,254
172,48.7,323
173,52.7,330
174,56.8,336
175,61.1,343
176,65.6,350
177,70.1,357
178,74.7,364
179,79.5,371
180,84.4,378
181,89.5,384
182,94.7,391
183,100.1,398
184,105.6,405
185,111.2,412
186,116.9,419
187,122.8,425
188,128.8,432
189,135,439
190,141.3,446
191,147.7,453
192,154.2,460
193,160.8,467
194,167.5,473
195,174.3,480
196,179.7,483
197,184.7,485
198,189.7,486
199,194.7,488
200,199.7,489
201,204.8,491
202,205,479
203,205,467
204,205,456
205,205,446
206,205,437
207,205,428
208,205,420
209,205,934
210,205,1552
211,205,2253
