Date,Year,May,June,July,August,September,October,November,December,January,February,March,April
1,1999,202.49,201.41,200.18,200.86,206.21,209.06,209.18,207.96,207.03,206.26,205.57,204.72
2,1999,202.46,201.38,200.15,200.91,206.37,209.10,209.14,207.92,206.99,206.23,205.53,204.70
3,1999,202.42,201.35,200.12,201.03,206.56,209.15,209.10,207.92,206.95,206.21,205.50,204.67
4,1999,202.38,201.31,200.08,201.11,206.73,209.21,209.04,207.90,206.91,206.19,205.49,204.64
5,1999,202.35,201.28,200.08,201.23,206.93,209.23,209.00,207.89,206.87,206.17,205.47,204.60
6,1999,202.32,201.26,200.08,201.35,207.07,209.26,208.95,207.86,206.86,206.13,205.46,204.57
7,1999,202.29,201.23,200.08,201.48,207.15,209.32,208.90,207.85,206.85,206.10,205.43,204.55
8,1999,202.26,201.20,200.10,201.63,207.23,209.38,208.86,207.82,206.82,206.08,205.41,204.53
9,1999,202.22,201.17,200.10,201.78,207.35,209.43,208.81,207.78,206.78,206.06,205.39,204.48
10,1999,202.19,201.14,200.11,201.95,207.52,209.48,208.78,207.74,206.76,206.03,205.37,204.45
11,1999,202.15,201.11,200.12,202.15,207.62,209.51,208.74,207.72,206.74,206.00,205.35,204.42
12,1999,202.12,201.06,200.12,202.37,207.71,209.53,208.70,207.69,206.71,205.97,205.33,204.38
13,1999,202.09,201.00,200.12,202.51,207.79,209.53,208.68,207.65,206.68,205.95,205.31,204.34
14,1999,202.04,200.95,200.12,202.65,207.89,209.51,208.64,207.61,206.66,205.92,205.29,204.31
15,1999,202.01,200.89,200.15,202.86,207.98,209.50,208.60,207.57,206.63,205.90,205.27,204.28
16,1999,201.97,200.84,200.19,203.16,208.04,209.50,208.56,207.53,206.61,205.88,205.25,204.24
17,1999,201.93,200.79,200.21,203.36,208.15,209.47,208.52,207.50,206.58,205.86,205.21,204.22
18,1999,201.90,200.74,200.23,203.60,208.24,209.43,208.48,207.47,206.56,205.84,205.17,204.19
19,1999,201.87,200.68,200.27,203.78,208.28,209.43,208.43,207.44,206.54,205.82,205.10,204.17
20,1999,201.83,200.65,200.27,203.94,208.38,209.42,208.39,207.41,206.52,205.80,205.08,204.13
21,1999,201.80,200.60,200.29,204.14,208.44,209.42,208.34,207.38,206.50,205.78,205.04,204.10
22,1999,201.76,200.58,200.30,204.35,208.51,209.45,208.30,207.34,206.47,205.76,205.00,204.07
23,1999,201.74,200.49,200.30,204.53,208.59,209.48,208.26,207.31,206.46,205.73,204.96,204.03
24,1999,201.70,200.45,200.36,204.65,208.65,209.47,208.23,207.27,206.44,205.70,204.92,203.98
25,1999,201.67,200.39,200.41,204.79,208.73,209.46,208.21,207.23,206.42,205.67,204.90,203.96
26,1999,201.62,200.36,200.44,204.94,208.77,209.42,208.18,207.21,206.39,205.65,204.88,203.94
27,1999,201.58,200.34,200.53,205.15,208.81,209.37,208.15,207.18,206.36,205.63,204.84,203.90
28,1999,201.55,200.32,200.62,205.33,208.89,209.34,208.11,207.15,206.34,205.61,204.82,203.86
29,1999,201.51,200.28,200.66,205.57,208.96,209.27,208.06,207.11 .,206.31,205.59,204.80,203.81
30,1999,201.48,200.26,200.73,205.81,209.01,209.25,208.02,207.08,206.29,204.78,203.79,
31,1999,201.45,,200.79,206.01,,209.22,,207.06,206.28,,204.75,
