,January,February,March,April,May,June,July,August,September,October,November,December
1,209.75,209.76,209.76,209.75,209.75,208.59,204.03,200.88,203.86,208.39,209.77,209.76
2,209.76,209.75,209.75,209.76,209.76,208.45,203.89,200.84,204.06,208.49,209.77,209.75
3,209.75,209.76,209.76,209.75,209.75,208.32,203.76,200.82,204.23,208.61,209.77,209.76
4,209.76,209.75,209.75,209.76,209.76,208.18,203.62,200.79,204.4,208.69,209.77,209.75
5,209.75,209.76,209.76,209.75,209.75,208.05,203.46,200.77,204.59,208.73,209.77,209.76
6,209.76,209.75,209.75,209.76,209.76,207.89,203.31,200.87,204.78,208.76,209.77,209.75
7,209.75,209.76,209.76,209.75,209.75,207.73,203.16,200.95,204.98,208.79,209.77,209.76
8,209.76,209.75,209.75,209.76,209.76,207.58,203.03,201.01,205.16,208.83,209.77,209.75
9,209.75,209.76,209.76,209.75,209.75,207.43,202.91,201.04,205.34,208.87,209.76,209.76
10,209.76,209.75,209.75,209.76,209.76,207.28,202.8,201.06,205.5,208.97,209.77,209.75
11,209.75,209.76,209.76,209.75,209.75,207.12,202.7,201.1,205.68,209.08,209.76,209.76
12,209.76,209.75,209.75,209.76,209.76,206.96,202.61,201.14,205.85,209.21,209.77,209.75
13,209.75,209.76,209.76,209.75,209.75,206.8,202.51,201.16,206.02,209.34,209.76,209.76
14,209.76,209.75,209.75,209.76,209.76,206.64,202.41,201.17,206.18,209.46,209.77,209.75
15,209.75,209.76,209.76,209.75,209.75,206.49,202.3,201.2,206.38,209.53,209.76,209.76
16,209.76,209.75,209.75,209.76,209.76,206.34,202.19,201.28,206.58,209.54,209.77,209.75
17,209.75,209.76,209.76,209.75,209.75,206.18,202.1,201.33,206.8,209.61,209.76,209.76
18,209.76,209.75,209.75,209.76,209.76,206.02,202.01,201.38,207.01,209.65,209.76,209.75
19,209.75,209.76,209.76,209.75,209.75,205.86,201.94,201.45,207.16,209.68,209.76,209.76
20,209.76,209.75,209.75,209.76,209.76,205.7,201.86,201.56,207.27,209.7,209.76,209.75
21,209.75,209.76,209.76,209.75,209.75,205.54,201.78,201.67,207.4,209.7,209.76,209.76
22,209.76,209.75,209.75,209.76,209.75,205.39,201.69,201.8,207.54,209.71,209.76,209.75
23,209.75,209.76,209.76,209.75,209.75,205.24,201.61,202,207.68,209.72,209.76,209.76
24,209.76,209.75,209.75,209.76,209.71,205.09,201.51,202.25,207.81,209.73,209.76,209.75
25,209.75,209.76,209.76,209.75,209.57,204.93,201.42,202.48,207.93,209.73,209.76,209.76
26,209.76,209.75,209.75,209.76,209.43,204.78,201.33,202.71,208.05,209.74,209.75,209.75
27,209.75,209.76,209.76,209.75,209.29,204.63,201.24,202.94,208.14,209.75,209.76,209.76
28,209.76,209.75,209.75,209.76,209.15,204.47,201.17,203.13,208.23,209.77,209.75,209.75
29,209.75,,209.76,209.75,209.01,204.32,201.08,203.3,208.27,209.76,209.76,209.76
30,209.76,,209.75,209.76,208.87,204.17,201,203.47,208.33,209.77,209.75,209.75
31,209.75,,209.76,,208.73,,200.94,203.64,,209.77,,209.76
