,January,February,March,April,May,June,July,August,September,October,November,December
1,195.33,194.15,192.86,191.36,189.9,188.43,187.26,187.16,187.38,193.74,196.17,196.14
2,195.29,194.1,192.81,191.31,189.85,188.39,187.24,187.14,187.62,193.88,196.19,196.12
3,195.26,194.06,192.76,191.26,189.8,188.34,187.21,187.16,187.81,194,196.21,196.1
4,195.22,194.01,192.71,191.21,189.75,188.3,187.19,187.16,188.02,194.12,196.23,196.08
5,195.19,193.97,192.66,191.16,189.71,188.26,187.17,187.16,188.23,194.23,196.25,196.06
6,195.15,193.92,192.61,191.11,189.66,188.21,187.15,187.16,188.46,194.35,196.26,196.03
7,195.12,193.88,192.56,191.06,189.61,188.17,187.13,187.16,188.73,194.51,196.27,196.01
8,195.08,193.83,192.52,191.02,189.56,188.12,187.12,187.16,189,194.66,196.28,195.99
9,195.05,193.79,192.47,190.97,189.52,188.08,187.11,187.18,189.25,194.8,196.28,195.96
10,195.01,193.74,192.42,190.92,189.47,188.03,187.11,187.16,189.49,194.93,196.29,195.94
11,194.97,193.7,192.37,190.87,189.42,187.99,187.09,187.18,189.72,195.05,196.29,195.91
12,194.94,193.65,192.32,190.82,189.37,187.95,187.09,187.16,189.98,195.17,196.3,195.89
13,194.9,193.61,192.27,190.77,189.33,187.9,187.06,187.18,190.23,195.27,196.3,195.86
14,194.86,193.56,192.22,190.72,189.28,187.87,187.08,187.16,190.49,195.36,196.3,195.84
15,194.83,193.51,192.18,190.67,189.23,187.83,187.06,187.18,190.74,195.44,196.3,195.81
16,194.79,193.47,192.13,190.63,189.18,187.79,187.08,187.16,190.98,195.51,196.3,195.78
17,194.75,193.42,192.08,190.58,189.14,187.75,187.07,187.18,191.2,195.58,196.29,195.76
18,194.71,193.38,192.03,190.53,189.09,187.72,187.08,187.16,191.41,195.65,196.29,195.73
19,194.67,193.33,191.98,190.48,189.04,187.68,187.07,187.18,191.63,195.72,196.29,195.7
20,194.64,193.28,191.93,190.43,189,187.64,187.08,187.16,191.83,195.77,196.28,195.67
21,194.6,193.24,191.89,190.38,188.95,187.6,187.08,187.18,192.04,195.83,196.27,195.65
22,194.56,193.19,191.84,190.33,188.9,187.57,187.09,187.16,192.24,195.88,196.26,195.62
23,194.52,193.14,191.79,190.28,188.85,187.53,187.1,187.18,192.43,195.92,196.25,195.59
24,194.48,193.1,191.74,190.24,188.81,187.5,187.1,187.16,192.62,195.96,196.24,195.56
25,194.44,193.05,191.69,190.19,188.76,187.46,187.1,187.18,192.8,195.99,196.23,195.53
26,194.39,193,191.65,190.14,188.71,187.43,187.1,187.17,192.97,196.02,196.21,195.5
27,194.35,192.96,191.6,190.09,188.67,187.39,187.12,187.18,193.14,196.05,196.2,195.47
28,194.31,192.91,191.55,190.04,188.62,187.36,187.14,187.17,193.3,196.08,196.19,195.44
29,194.27,,191.5,189.99,188.57,187.33,187.12,187.21,193.46,196.1,196.17,195.41
30,194.23,,191.45,189.94,188.52,187.29,187.15,187.17,193.6,196.13,196.15,195.38
31,194.19,,191.41,,188.48,,187.13,187.22,,196.15,,195.35
