,Station,Year,Day,variable,value,Date,Date2,Station,Year,Day,variable,value,Date,Date2,Station,Year,Day,variable,value,Date,Date2
1,Bafing,1995,1,May,0.9,1996-May-1,1995-05-01,Bafing,1996,1,May,0,1996-May-1,1996-05-01,Manantali,1996,1,May,32.4,1996-May-1,1996-05-01
2,Bafing,1995,2,May,0.9,1996-May-2,1995-05-02,Bafing,1996,2,May,0,1996-May-2,1996-05-02,Manantali,1996,2,May,36.7,1996-May-2,1996-05-02
3,Bafing,1995,3,May,0.9,1996-May-3,1995-05-03,Bafing,1996,3,May,0,1996-May-3,1996-05-03,Manantali,1996,3,May,33.1,1996-May-3,1996-05-03
4,Bafing,1995,4,May,0.6,1996-May-4,1995-05-04,Bafing,1996,4,May,0,1996-May-4,1996-05-04,Manantali,1996,4,May,33.1,1996-May-4,1996-05-04
5,Bafing,1995,5,May,0.6,1996-May-5,1995-05-05,Bafing,1996,5,May,0,1996-May-5,1996-05-05,Manantali,1996,5,May,32.8,1996-May-5,1996-05-05
6,Bafing,1995,6,May,0.3,1996-May-6,1995-05-06,Bafing,1996,6,May,0,1996-May-6,1996-05-06,Manantali,1996,6,May,35,1996-May-6,1996-05-06
7,Bafing,1995,7,May,0,1996-May-7,1995-05-07,Bafing,1996,7,May,0,1996-May-7,1996-05-07,Manantali,1996,7,May,33.3,1996-May-7,1996-05-07
8,Bafing,1995,8,May,0,1996-May-8,1995-05-08,Bafing,1996,8,May,1.5,1996-May-8,1996-05-08,Manantali,1996,8,May,35.7,1996-May-8,1996-05-08
9,Bafing,1995,9,May,0,1996-May-9,1995-05-09,Bafing,1996,9,May,0,1996-May-9,1996-05-09,Manantali,1996,9,May,34.6,1996-May-9,1996-05-09
10,Bafing,1995,10,May,0,1996-May-10,1995-05-10,Bafing,1996,10,May,0,1996-May-10,1996-05-10,Manantali,1996,10,May,33.3,1996-May-10,1996-05-10
11,Bafing,1995,11,May,0,1996-May-11,1995-05-11,Bafing,1996,11,May,0,1996-May-11,1996-05-11,Manantali,1996,11,May,35.6,1996-May-11,1996-05-11
12,Bafing,1995,12,May,0,1996-May-12,1995-05-12,Bafing,1996,12,May,1,1996-May-12,1996-05-12,Manantali,1996,12,May,35.3,1996-May-12,1996-05-12
13,Bafing,1995,13,May,0,1996-May-13,1995-05-13,Bafing,1996,13,May,0,1996-May-13,1996-05-13,Manantali,1996,13,May,31,1996-May-13,1996-05-13
14,Bafing,1995,14,May,0,1996-May-14,1995-05-14,Bafing,1996,14,May,0,1996-May-14,1996-05-14,Manantali,1996,14,May,32.8,1996-May-14,1996-05-14
15,Bafing,1995,15,May,0,1996-May-15,1995-05-15,Bafing,1996,15,May,0,1996-May-15,1996-05-15,Manantali,1996,15,May,33,1996-May-15,1996-05-15
16,Bafing,1995,16,May,0,1996-May-16,1995-05-16,Bafing,1996,16,May,0,1996-May-16,1996-05-16,Manantali,1996,16,May,33.2,1996-May-16,1996-05-16
17,Bafing,1995,17,May,0,1996-May-17,1995-05-17,Bafing,1996,17,May,0,1996-May-17,1996-05-17,Manantali,1996,17,May,33.9,1996-May-17,1996-05-17
18,Bafing,1995,18,May,0,1996-May-18,1995-05-18,Bafing,1996,18,May,0,1996-May-18,1996-05-18,Manantali,1996,18,May,36.1,1996-May-18,1996-05-18
19,Bafing,1995,19,May,0,1996-May-19,1995-05-19,Bafing,1996,19,May,1.1,1996-May-19,1996-05-19,Manantali,1996,19,May,35.1,1996-May-19,1996-05-19
20,Bafing,1995,20,May,0,1996-May-20,1995-05-20,Bafing,1996,20,May,0,1996-May-20,1996-05-20,Manantali,1996,20,May,33.3,1996-May-20,1996-05-20
21,Bafing,1995,21,May,0,1996-May-21,1995-05-21,Bafing,1996,21,May,0,1996-May-21,1996-05-21,Manantali,1996,21,May,34.8,1996-May-21,1996-05-21
22,Bafing,1995,22,May,0,1996-May-22,1995-05-22,Bafing,1996,22,May,0,1996-May-22,1996-05-22,Manantali,1996,22,May,34.2,1996-May-22,1996-05-22
23,Bafing,1995,23,May,0,1996-May-23,1995-05-23,Bafing,1996,23,May,10,1996-May-23,1996-05-23,Manantali,1996,23,May,35.7,1996-May-23,1996-05-23
24,Bafing,1995,24,May,0,1996-May-24,1995-05-24,Bafing,1996,24,May,0,1996-May-24,1996-05-24,Manantali,1996,24,May,33.9,1996-May-24,1996-05-24
25,Bafing,1995,25,May,0,1996-May-25,1995-05-25,Bafing,1996,25,May,0,1996-May-25,1996-05-25,Manantali,1996,25,May,31.1,1996-May-25,1996-05-25
26,Bafing,1995,26,May,0,1996-May-26,1995-05-26,Bafing,1996,26,May,31,1996-May-26,1996-05-26,Manantali,1996,26,May,26,1996-May-26,1996-05-26
27,Bafing,1995,27,May,0,1996-May-27,1995-05-27,Bafing,1996,27,May,0,1996-May-27,1996-05-27,Manantali,1996,27,May,31.4,1996-May-27,1996-05-27
28,Bafing,1995,28,May,0,1996-May-28,1995-05-28,Bafing,1996,28,May,1.3,1996-May-28,1996-05-28,Manantali,1996,28,May,31,1996-May-28,1996-05-28
29,Bafing,1995,29,May,0,1996-May-29,1995-05-29,Bafing,1996,29,May,40.8,1996-May-29,1996-05-29,Manantali,1996,29,May,29.3,1996-May-29,1996-05-29
30,Bafing,1995,30,May,0.9,1996-May-30,1995-05-30,Bafing,1996,30,May,3.7,1996-May-30,1996-05-30,Manantali,1996,30,May,24,1996-May-30,1996-05-30
31,Bafing,1995,31,May,15.5,1996-May-31,1995-05-31,Bafing,1996,31,May,0,1996-May-31,1996-05-31,Manantali,1996,31,May,30.6,1996-May-31,1996-05-31
32,Bafing,1995,1,June,60.8,1996-June-1,1995-06-01,Bafing,1996,1,June,0,1996-June-1,1996-06-01,Manantali,1996,1,June,31.3,1996-June-1,1996-06-01
33,Bafing,1995,2,June,49.5,1996-June-2,1995-06-02,Bafing,1996,2,June,0,1996-June-2,1996-06-02,Manantali,1996,2,June,33.3,1996-June-2,1996-06-02
34,Bafing,1995,3,June,42.9,1996-June-3,1995-06-03,Bafing,1996,3,June,13,1996-June-3,1996-06-03,Manantali,1996,3,June,32.6,1996-June-3,1996-06-03
35,Bafing,1995,4,June,41.6,1996-June-4,1995-06-04,Bafing,1996,4,June,0,1996-June-4,1996-06-04,Manantali,1996,4,June,26.6,1996-June-4,1996-06-04
36,Bafing,1995,5,June,22,1996-June-5,1995-06-05,Bafing,1996,5,June,0,1996-June-5,1996-06-05,Manantali,1996,5,June,30.4,1996-June-5,1996-06-05
37,Bafing,1995,6,June,23.8,1996-June-6,1995-06-06,Bafing,1996,6,June,0,1996-June-6,1996-06-06,Manantali,1996,6,June,31,1996-June-6,1996-06-06
38,Bafing,1995,7,June,49.7,1996-June-7,1995-06-07,Bafing,1996,7,June,0,1996-June-7,1996-06-07,Manantali,1996,7,June,29.5,1996-June-7,1996-06-07
39,Bafing,1995,8,June,46.9,1996-June-8,1995-06-08,Bafing,1996,8,June,28,1996-June-8,1996-06-08,Manantali,1996,8,June,32,1996-June-8,1996-06-08
40,Bafing,1995,9,June,43.3,1996-June-9,1995-06-09,Bafing,1996,9,June,0,1996-June-9,1996-06-09,Manantali,1996,9,June,30.3,1996-June-9,1996-06-09
41,Bafing,1995,10,June,38.4,1996-June-10,1995-06-10,Bafing,1996,10,June,1,1996-June-10,1996-06-10,Manantali,1996,10,June,33.1,1996-June-10,1996-06-10
42,Bafing,1995,11,June,38.7,1996-June-11,1995-06-11,Bafing,1996,11,June,0,1996-June-11,1996-06-11,Manantali,1996,11,June,30.4,1996-June-11,1996-06-11
43,Bafing,1995,12,June,42.3,1996-June-12,1995-06-12,Bafing,1996,12,June,2,1996-June-12,1996-06-12,Manantali,1996,12,June,31.5,1996-June-12,1996-06-12
44,Bafing,1995,13,June,42.9,1996-June-13,1995-06-13,Bafing,1996,13,June,25.5,1996-June-13,1996-06-13,Manantali,1996,13,June,30.7,1996-June-13,1996-06-13
45,Bafing,1995,14,June,45.2,1996-June-14,1995-06-14,Bafing,1996,14,June,0,1996-June-14,1996-06-14,Manantali,1996,14,June,30.6,1996-June-14,1996-06-14
46,Bafing,1995,15,June,57.6,1996-June-15,1995-06-15,Bafing,1996,15,June,0,1996-June-15,1996-06-15,Manantali,1996,15,June,30,1996-June-15,1996-06-15
47,Bafing,1995,16,June,50.1,1996-June-16,1995-06-16,Bafing,1996,16,June,0,1996-June-16,1996-06-16,Manantali,1996,16,June,31.8,1996-June-16,1996-06-16
48,Bafing,1995,17,June,46.9,1996-June-17,1995-06-17,Bafing,1996,17,June,0,1996-June-17,1996-06-17,Manantali,1996,17,June,29.6,1996-June-17,1996-06-17
49,Bafing,1995,18,June,44.6,1996-June-18,1995-06-18,Bafing,1996,18,June,0,1996-June-18,1996-06-18,Manantali,1996,18,June,32.4,1996-June-18,1996-06-18
50,Bafing,1995,19,June,45.7,1996-June-19,1995-06-19,Bafing,1996,19,June,0,1996-June-19,1996-06-19,Manantali,1996,19,June,32.7,1996-June-19,1996-06-19
51,Bafing,1995,20,June,43.5,1996-June-20,1995-06-20,Bafing,1996,20,June,1,1996-June-20,1996-06-20,Manantali,1996,20,June,31.4,1996-June-20,1996-06-20
52,Bafing,1995,21,June,45.4,1996-June-21,1995-06-21,Bafing,1996,21,June,0,1996-June-21,1996-06-21,Manantali,1996,21,June,32.5,1996-June-21,1996-06-21
53,Bafing,1995,22,June,46.1,1996-June-22,1995-06-22,Bafing,1996,22,June,0,1996-June-22,1996-06-22,Manantali,1996,22,June,32.2,1996-June-22,1996-06-22
54,Bafing,1995,23,June,47.4,1996-June-23,1995-06-23,Bafing,1996,23,June,33.6,1996-June-23,1996-06-23,Manantali,1996,23,June,33.3,1996-June-23,1996-06-23
55,Bafing,1995,24,June,50.4,1996-June-24,1995-06-24,Bafing,1996,24,June,0,1996-June-24,1996-06-24,Manantali,1996,24,June,28.5,1996-June-24,1996-06-24
56,Bafing,1995,25,June,52,1996-June-25,1995-06-25,Bafing,1996,25,June,0,1996-June-25,1996-06-25,Manantali,1996,25,June,31,1996-June-25,1996-06-25
57,Bafing,1995,26,June,78.9,1996-June-26,1995-06-26,Bafing,1996,26,June,0,1996-June-26,1996-06-26,Manantali,1996,26,June,29.4,1996-June-26,1996-06-26
58,Bafing,1995,27,June,77.4,1996-June-27,1995-06-27,Bafing,1996,27,June,0,1996-June-27,1996-06-27,Manantali,1996,27,June,32,1996-June-27,1996-06-27
59,Bafing,1995,28,June,98.1,1996-June-28,1995-06-28,Bafing,1996,28,June,0,1996-June-28,1996-06-28,Manantali,1996,28,June,32,1996-June-28,1996-06-28
60,Bafing,1995,29,June,125.2,1996-June-29,1995-06-29,Bafing,1996,29,June,0,1996-June-29,1996-06-29,Manantali,1996,29,June,33,1996-June-29,1996-06-29
61,Bafing,1995,30,June,136.9,1996-June-30,1995-06-30,Bafing,1996,30,June,11,1996-June-30,1996-06-30,Manantali,1996,30,June,26.3,1996-June-30,1996-06-30
62,Bafing,1995,1,July,134.3,1996-July-1,1995-07-01,Bafing,1996,1,July,25.2,1996-July-1,1996-07-01,Manantali,1996,1,July,26.8,1996-July-1,1996-07-01
63,Bafing,1995,2,July,123.9,1996-July-2,1995-07-02,Bafing,1996,2,July,0,1996-July-2,1996-07-02,Manantali,1996,2,July,26.5,1996-July-2,1996-07-02
64,Bafing,1995,3,July,115.9,1996-July-3,1995-07-03,Bafing,1996,3,July,0,1996-July-3,1996-07-03,Manantali,1996,3,July,29.7,1996-July-3,1996-07-03
65,Bafing,1995,4,July,119.4,1996-July-4,1995-07-04,Bafing,1996,4,July,15.3,1996-July-4,1996-07-04,Manantali,1996,4,July,31,1996-July-4,1996-07-04
66,Bafing,1995,5,July,154.4,1996-July-5,1995-07-05,Bafing,1996,5,July,0,1996-July-5,1996-07-05,Manantali,1996,5,July,28.4,1996-July-5,1996-07-05
67,Bafing,1995,6,July,147.7,1996-July-6,1995-07-06,Bafing,1996,6,July,0,1996-July-6,1996-07-06,Manantali,1996,6,July,28.2,1996-July-6,1996-07-06
68,Bafing,1995,7,July,151.8,1996-July-7,1995-07-07,Bafing,1996,7,July,4.5,1996-July-7,1996-07-07,Manantali,1996,7,July,29.4,1996-July-7,1996-07-07
69,Bafing,1995,8,July,146.7,1996-July-8,1995-07-08,Bafing,1996,8,July,0,1996-July-8,1996-07-08,Manantali,1996,8,July,23.5,1996-July-8,1996-07-08
70,Bafing,1995,9,July,145.7,1996-July-9,1995-07-09,Bafing,1996,9,July,0,1996-July-9,1996-07-09,Manantali,1996,9,July,28.8,1996-July-9,1996-07-09
71,Bafing,1995,10,July,147.6,1996-July-10,1995-07-10,Bafing,1996,10,July,19.6,1996-July-10,1996-07-10,Manantali,1996,10,July,29,1996-July-10,1996-07-10
72,Bafing,1995,11,July,146.5,1996-July-11,1995-07-11,Bafing,1996,11,July,0,1996-July-11,1996-07-11,Manantali,1996,11,July,28.3,1996-July-11,1996-07-11
73,Bafing,1995,12,July,144.6,1996-July-12,1995-07-12,Bafing,1996,12,July,0,1996-July-12,1996-07-12,Manantali,1996,12,July,29.2,1996-July-12,1996-07-12
74,Bafing,1995,13,July,163.7,1996-July-13,1995-07-13,Bafing,1996,13,July,0,1996-July-13,1996-07-13,Manantali,1996,13,July,30.3,1996-July-13,1996-07-13
75,Bafing,1995,14,July,179.1,1996-July-14,1995-07-14,Bafing,1996,14,July,11,1996-July-14,1996-07-14,Manantali,1996,14,July,28.4,1996-July-14,1996-07-14
76,Bafing,1995,15,July,188.3,1996-July-15,1995-07-15,Bafing,1996,15,July,0,1996-July-15,1996-07-15,Manantali,1996,15,July,28,1996-July-15,1996-07-15
77,Bafing,1995,16,July,204.5,1996-July-16,1995-07-16,Bafing,1996,16,July,0,1996-July-16,1996-07-16,Manantali,1996,16,July,29.8,1996-July-16,1996-07-16
78,Bafing,1995,17,July,208.5,1996-July-17,1995-07-17,Bafing,1996,17,July,16.2,1996-July-17,1996-07-17,Manantali,1996,17,July,31.8,1996-July-17,1996-07-17
79,Bafing,1995,18,July,204.3,1996-July-18,1995-07-18,Bafing,1996,18,July,0,1996-July-18,1996-07-18,Manantali,1996,18,July,29.3,1996-July-18,1996-07-18
80,Bafing,1995,19,July,200,1996-July-19,1995-07-19,Bafing,1996,19,July,0,1996-July-19,1996-07-19,Manantali,1996,19,July,29.8,1996-July-19,1996-07-19
81,Bafing,1995,20,July,224.2,1996-July-20,1995-07-20,Bafing,1996,20,July,6.3,1996-July-20,1996-07-20,Manantali,1996,20,July,26.6,1996-July-20,1996-07-20
82,Bafing,1995,21,July,234.2,1996-July-21,1995-07-21,Bafing,1996,21,July,0,1996-July-21,1996-07-21,Manantali,1996,21,July,28.8,1996-July-21,1996-07-21
83,Bafing,1995,22,July,243.4,1996-July-22,1995-07-22,Bafing,1996,22,July,35.5,1996-July-22,1996-07-22,Manantali,1996,22,July,30.2,1996-July-22,1996-07-22
84,Bafing,1995,23,July,230.2,1996-July-23,1995-07-23,Bafing,1996,23,July,0,1996-July-23,1996-07-23,Manantali,1996,23,July,24.4,1996-July-23,1996-07-23
85,Bafing,1995,24,July,222.5,1996-July-24,1995-07-24,Bafing,1996,24,July,13.7,1996-July-24,1996-07-24,Manantali,1996,24,July,27.4,1996-July-24,1996-07-24
86,Bafing,1995,25,July,202.8,1996-July-25,1995-07-25,Bafing,1996,25,July,0,1996-July-25,1996-07-25,Manantali,1996,25,July,25.3,1996-July-25,1996-07-25
87,Bafing,1995,26,July,186.6,1996-July-26,1995-07-26,Bafing,1996,26,July,0,1996-July-26,1996-07-26,Manantali,1996,26,July,27.8,1996-July-26,1996-07-26
88,Bafing,1995,27,July,202.5,1996-July-27,1995-07-27,Bafing,1996,27,July,45,1996-July-27,1996-07-27,Manantali,1996,27,July,24.7,1996-July-27,1996-07-27
89,Bafing,1995,28,July,287,1996-July-28,1995-07-28,Bafing,1996,28,July,10,1996-July-28,1996-07-28,Manantali,1996,28,July,27.4,1996-July-28,1996-07-28
90,Bafing,1995,29,July,354.5,1996-July-29,1995-07-29,Bafing,1996,29,July,13,1996-July-29,1996-07-29,Manantali,1996,29,July,26.6,1996-July-29,1996-07-29
91,Bafing,1995,30,July,375.4,1996-July-30,1995-07-30,Bafing,1996,30,July,15,1996-July-30,1996-07-30,Manantali,1996,30,July,26.4,1996-July-30,1996-07-30
92,Bafing,1995,31,July,464.6,1996-July-31,1995-07-31,Bafing,1996,31,July,0,1996-July-31,1996-07-31,Manantali,1996,31,July,26,1996-July-31,1996-07-31
93,Bafing,1995,1,August,608,1996-August-1,1995-08-01,Bafing,1996,1,August,0,1996-August-1,1996-08-01,Manantali,1996,1,August,27.2,1996-August-1,1996-08-01
94,Bafing,1995,2,August,769.7,1996-August-2,1995-08-02,Bafing,1996,2,August,0,1996-August-2,1996-08-02,Manantali,1996,2,August,27.1,1996-August-2,1996-08-02
95,Bafing,1995,3,August,820.1,1996-August-3,1995-08-03,Bafing,1996,3,August,20,1996-August-3,1996-08-03,Manantali,1996,3,August,27.9,1996-August-3,1996-08-03
96,Bafing,1995,4,August,743.2,1996-August-4,1995-08-04,Bafing,1996,4,August,21,1996-August-4,1996-08-04,Manantali,1996,4,August,25.4,1996-August-4,1996-08-04
97,Bafing,1995,5,August,903.1,1996-August-5,1995-08-05,Bafing,1996,5,August,20,1996-August-5,1996-08-05,Manantali,1996,5,August,26.3,1996-August-5,1996-08-05
98,Bafing,1995,6,August,897,1996-August-6,1995-08-06,Bafing,1996,6,August,5,1996-August-6,1996-08-06,Manantali,1996,6,August,28.5,1996-August-6,1996-08-06
99,Bafing,1995,7,August,803.3,1996-August-7,1995-08-07,Bafing,1996,7,August,0,1996-August-7,1996-08-07,Manantali,1996,7,August,26.8,1996-August-7,1996-08-07
100,Bafing,1995,8,August,690.3,1996-August-8,1995-08-08,Bafing,1996,8,August,0,1996-August-8,1996-08-08,Manantali,1996,8,August,28.5,1996-August-8,1996-08-08
101,Bafing,1995,9,August,579.9,1996-August-9,1995-08-09,Bafing,1996,9,August,0,1996-August-9,1996-08-09,Manantali,1996,9,August,28.9,1996-August-9,1996-08-09
102,Bafing,1995,10,August,516.1,1996-August-10,1995-08-10,Bafing,1996,10,August,0,1996-August-10,1996-08-10,Manantali,1996,10,August,29.6,1996-August-10,1996-08-10
103,Bafing,1995,11,August,482.1,1996-August-11,1995-08-11,Bafing,1996,11,August,1.3,1996-August-11,1996-08-11,Manantali,1996,11,August,28.5,1996-August-11,1996-08-11
104,Bafing,1995,12,August,509.5,1996-August-12,1995-08-12,Bafing,1996,12,August,0,1996-August-12,1996-08-12,Manantali,1996,12,August,27.3,1996-August-12,1996-08-12
105,Bafing,1995,13,August,569.4,1996-August-13,1995-08-13,Bafing,1996,13,August,1.4,1996-August-13,1996-08-13,Manantali,1996,13,August,28,1996-August-13,1996-08-13
106,Bafing,1995,14,August,586.8,1996-August-14,1995-08-14,Bafing,1996,14,August,0,1996-August-14,1996-08-14,Manantali,1996,14,August,26.9,1996-August-14,1996-08-14
107,Bafing,1995,15,August,525.1,1996-August-15,1995-08-15,Bafing,1996,15,August,6,1996-August-15,1996-08-15,Manantali,1996,15,August,27.5,1996-August-15,1996-08-15
108,Bafing,1995,16,August,501.9,1996-August-16,1995-08-16,Bafing,1996,16,August,0,1996-August-16,1996-08-16,Manantali,1996,16,August,28.2,1996-August-16,1996-08-16
109,Bafing,1995,17,August,511.5,1996-August-17,1995-08-17,Bafing,1996,17,August,2,1996-August-17,1996-08-17,Manantali,1996,17,August,27.9,1996-August-17,1996-08-17
110,Bafing,1995,18,August,620.8,1996-August-18,1995-08-18,Bafing,1996,18,August,70,1996-August-18,1996-08-18,Manantali,1996,18,August,23.7,1996-August-18,1996-08-18
111,Bafing,1995,19,August,1403.6,1996-August-19,1995-08-19,Bafing,1996,19,August,0,1996-August-19,1996-08-19,Manantali,1996,19,August,26.7,1996-August-19,1996-08-19
112,Bafing,1995,20,August,894.5,1996-August-20,1995-08-20,Bafing,1996,20,August,1.6,1996-August-20,1996-08-20,Manantali,1996,20,August,27.6,1996-August-20,1996-08-20
113,Bafing,1995,21,August,686.2,1996-August-21,1995-08-21,Bafing,1996,21,August,0,1996-August-21,1996-08-21,Manantali,1996,21,August,28,1996-August-21,1996-08-21
114,Bafing,1995,22,August,637.6,1996-August-22,1995-08-22,Bafing,1996,22,August,2.2,1996-August-22,1996-08-22,Manantali,1996,22,August,27,1996-August-22,1996-08-22
115,Bafing,1995,23,August,797.7,1996-August-23,1995-08-23,Bafing,1996,23,August,20.4,1996-August-23,1996-08-23,Manantali,1996,23,August,29.2,1996-August-23,1996-08-23
116,Bafing,1995,24,August,906.5,1996-August-24,1995-08-24,Bafing,1996,24,August,0,1996-August-24,1996-08-24,Manantali,1996,24,August,29,1996-August-24,1996-08-24
117,Bafing,1995,25,August,799.1,1996-August-25,1995-08-25,Bafing,1996,25,August,9.5,1996-August-25,1996-08-25,Manantali,1996,25,August,27.3,1996-August-25,1996-08-25
118,Bafing,1995,26,August,747.4,1996-August-26,1995-08-26,Bafing,1996,26,August,3.5,1996-August-26,1996-08-26,Manantali,1996,26,August,25,1996-August-26,1996-08-26
119,Bafing,1995,27,August,706.7,1996-August-27,1995-08-27,Bafing,1996,27,August,0,1996-August-27,1996-08-27,Manantali,1996,27,August,28,1996-August-27,1996-08-27
120,Bafing,1995,28,August,722.6,1996-August-28,1995-08-28,Bafing,1996,28,August,51,1996-August-28,1996-08-28,Manantali,1996,28,August,28.7,1996-August-28,1996-08-28
121,Bafing,1995,29,August,742.1,1996-August-29,1995-08-29,Bafing,1996,29,August,0,1996-August-29,1996-08-29,Manantali,1996,29,August,27.4,1996-August-29,1996-08-29
122,Bafing,1995,30,August,858.9,1996-August-30,1995-08-30,Bafing,1996,30,August,0,1996-August-30,1996-08-30,Manantali,1996,30,August,28.7,1996-August-30,1996-08-30
123,Bafing,1995,31,August,887.2,1996-August-31,1995-08-31,Bafing,1996,31,August,0,1996-August-31,1996-08-31,Manantali,1996,31,August,26.6,1996-August-31,1996-08-31
124,Bafing,1995,1,September,785.1,1996-September-1,1995-09-01,Bafing,1996,1,September,17.2,1996-September-1,1996-09-01,Manantali,1996,1,September,26.4,1996-September-1,1996-09-01
125,Bafing,1995,2,September,780.9,1996-September-2,1995-09-02,Bafing,1996,2,September,8.2,1996-September-2,1996-09-02,Manantali,1996,2,September,26.3,1996-September-2,1996-09-02
126,Bafing,1995,3,September,644.9,1996-September-3,1995-09-03,Bafing,1996,3,September,37.3,1996-September-3,1996-09-03,Manantali,1996,3,September,27.6,1996-September-3,1996-09-03
127,Bafing,1995,4,September,732,1996-September-4,1995-09-04,Bafing,1996,4,September,7,1996-September-4,1996-09-04,Manantali,1996,4,September,26.5,1996-September-4,1996-09-04
128,Bafing,1995,5,September,828.7,1996-September-5,1995-09-05,Bafing,1996,5,September,27,1996-September-5,1996-09-05,Manantali,1996,5,September,26.7,1996-September-5,1996-09-05
129,Bafing,1995,6,September,882,1996-September-6,1995-09-06,Bafing,1996,6,September,32.5,1996-September-6,1996-09-06,Manantali,1996,6,September,27,1996-September-6,1996-09-06
130,Bafing,1995,7,September,811.7,1996-September-7,1995-09-07,Bafing,1996,7,September,2,1996-September-7,1996-09-07,Manantali,1996,7,September,26.3,1996-September-7,1996-09-07
131,Bafing,1995,8,September,745,1996-September-8,1995-09-08,Bafing,1996,8,September,0,1996-September-8,1996-09-08,Manantali,1996,8,September,27.4,1996-September-8,1996-09-08
132,Bafing,1995,9,September,629.4,1996-September-9,1995-09-09,Bafing,1996,9,September,0,1996-September-9,1996-09-09,Manantali,1996,9,September,27.9,1996-September-9,1996-09-09
133,Bafing,1995,10,September,769.7,1996-September-10,1995-09-10,Bafing,1996,10,September,0,1996-September-10,1996-09-10,Manantali,1996,10,September,27.3,1996-September-10,1996-09-10
134,Bafing,1995,11,September,723.6,1996-September-11,1995-09-11,Bafing,1996,11,September,46.3,1996-September-11,1996-09-11,Manantali,1996,11,September,28.5,1996-September-11,1996-09-11
135,Bafing,1995,12,September,839.6,1996-September-12,1995-09-12,Bafing,1996,12,September,7.5,1996-September-12,1996-09-12,Manantali,1996,12,September,26.9,1996-September-12,1996-09-12
136,Bafing,1995,13,September,930.9,1996-September-13,1995-09-13,Bafing,1996,13,September,40.7,1996-September-13,1996-09-13,Manantali,1996,13,September,26.5,1996-September-13,1996-09-13
137,Bafing,1995,14,September,1144.2,1996-September-14,1995-09-14,Bafing,1996,14,September,10,1996-September-14,1996-09-14,Manantali,1996,14,September,28,1996-September-14,1996-09-14
